report_id,report_type,timestamp,location,department,equipment,raw_text,cleaned_text,metadata,sif_label,hazard_category,severity,immediate_action,intervention,corrective_action,preventive_action,work_stopped
36a6f87b-3fbd-4d82-8751-35eb3731e880,Unsafe Act,,Refinery Sector 4,,Pump,Small oil spill near Pump at Refinery Sector 4. Cleaned up promptly.,small oil spill near pump at refinery sector 4. cleaned up promptly.,{},NO,Energy Isolation,LOW,,colleague intervened,replaced equipment,updated procedures,False
6245a64f-1b38-4251-894f-4427f01c18f7,Unsafe Act,,Offshore Platform 1,,Compressor,Small oil spill near Compressor at Offshore Platform 1. Cleaned up promptly.,small oil spill near compressor at offshore platform 1. cleaned up promptly.,{},NO,Manual Handling,LOW,reported to supervisor,colleague intervened,replaced equipment,,
a2fca1d6-b95a-4c19-84fa-6c7948147650,Unsafe Act,,Unit A,,Electrical Panel,Small oil spill near Electrical Panel at Unit A. Cleaned up promptly.,small oil spill near electrical panel at unit a. cleaned up promptly.,{},NO,Energy Isolation,MEDIUM,stopped work,supervisor intervened,,,True
84932a77-1a32-477b-8ef0-ae7e57553de2,Unsafe Act,,Unit A,,Heat Exchanger,Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,trip hazard due to loose cables near heat exchanger. cables were immediately organized.,{},NO,Manual Handling,MEDIUM,stopped work,colleague intervened,cleaned up,,True
0617487d-198c-479f-b737-0ac1d99632da,Near Miss,,Unit B,,Heat Exchanger,Line opened with residual pressure on the Heat Exchanger. High-energy release narrowly missed the operator.,line opened with residual pressure on the heat exchanger. high-energy release narrowly missed the operator.,{},YES,Confined Space,CRITICAL,,,replaced equipment,updated procedures,
433789bf-7bf2-48a8-8202-8838fe8af754,Unsafe Act,,Refinery Sector 4,,Compressor,Line opened with residual pressure on the Compressor. High-energy release narrowly missed the operator.,line opened with residual pressure on the compressor. high-energy release narrowly missed the operator.,{},YES,Energy Isolation,HIGH,stopped work,supervisor intervened,replaced equipment,updated procedures,False
9b297b07-1af5-40a0-bd2c-b258bac030f2,Unsafe Act,,Unit B,,Valve,Small oil spill near Valve at Unit B. Cleaned up promptly.,small oil spill near valve at unit b. cleaned up promptly.,{},NO,Working at Height,LOW,reported to supervisor,supervisor intervened,cleaned up,retrained staff,
f63effc1-c549-417a-bf53-b100d2656863,Near Miss,,Unit A,,Pump,Worker entered the confined space at Unit A without conducting a gas test. No standby person was present.,worker entered the confined space at unit a without conducting a gas test. no standby person was present.,{},YES,Pressure,CRITICAL,reported to supervisor,colleague intervened,,,False
31438ff2-e270-4d31-b5b8-98d314ffabc5,Unsafe Act,,Unit A,,Heat Exchanger,Small oil spill near Heat Exchanger at Unit A. Cleaned up promptly.,small oil spill near heat exchanger at unit a. cleaned up promptly.,{},NO,Energy Isolation,MEDIUM,stopped work,colleague intervened,,retrained staff,False
6b139a44-8b3d-44d8-af4d-12d8cf3b8586,Unsafe Act,,Unit A,,Compressor,Small oil spill near Compressor at Unit A. Cleaned up promptly.,small oil spill near compressor at unit a. cleaned up promptly.,{},NO,Working at Height,MEDIUM,,supervisor intervened,replaced equipment,retrained staff,False
bc7e8427-4bc2-4a2d-b888-6be03081be0a,Unsafe Condition,,Offshore Platform 1,,Electrical Panel,Small oil spill near Electrical Panel at Offshore Platform 1. Cleaned up promptly.,small oil spill near electrical panel at offshore platform 1. cleaned up promptly.,{},NO,Pressure,LOW,stopped work,colleague intervened,,retrained staff,True
bdc0a981-47a8-4ae9-acd4-e37b854fb18e,Unsafe Act,,Unit B,,Heat Exchanger,Worker entered the confined space at Unit B without conducting a gas test. No standby person was present.,worker entered the confined space at unit b without conducting a gas test. no standby person was present.,{},YES,Energy Isolation,HIGH,,supervisor intervened,replaced equipment,retrained staff,
9dfcccbc-1eb2-4ff3-95b5-809c45f919da,Near Miss,,Unit A,,Valve,"<div><p>During maintenance of the Valve at Unit A, the technician started work without isolating the equipment. The Valve was still energized.</p></div>","during maintenance of the valve at unit a, the technician started work without isolating the equipment. the valve was still energized.",{},YES,Confined Space,HIGH,,supervisor intervened,cleaned up,updated procedures,False
624684f9-ee1d-4111-bc59-a99305b8ac0c,Near Miss,,Unit A,,Heat Exchanger,"During maintenance of the Heat Exchanger at Unit A, the technician started work without isolating the equipment. The Heat Exchanger was still energized.","during maintenance of the heat exchanger at unit a, the technician started work without isolating the equipment. the heat exchanger was still energized.",{},YES,Energy Isolation,HIGH,,,cleaned up,,
17806eea-60db-4a67-a58e-321fe3d5aa25,Near Miss,,Refinery Sector 4,,Pump,"While working at Refinery Sector 4, worker was at height without fall protection. Serious risk of fatal fall.","while working at refinery sector 4, worker was at height without fall protection. serious risk of fatal fall.",{},YES,Pressure,CRITICAL,,,,updated procedures,True
7fea5a64-3659-4aad-b721-e651d613dfbc,Unsafe Act,,Unit B,,Pump,Small oil spill near Pump at Unit B. Cleaned up promptly.,small oil spill near pump at unit b. cleaned up promptly.,{},NO,Confined Space,MEDIUM,stopped work,,,,False
13d02cb4-8c70-4c6f-8786-9178f490c683,Unsafe Act,,Offshore Platform 1,,Compressor,"During maintenance of the Compressor at Offshore Platform 1, the technician started work without isolating the equipment. The Compressor was still energized.","during maintenance of the compressor at offshore platform 1, the technician started work without isolating the equipment. the compressor was still energized.",{},YES,Energy Isolation,HIGH,stopped work,,,retrained staff,True
583cb2d6-3819-4cd5-a7b2-42cc875378ab,Near Miss,,Unit B,,Heat Exchanger,"During maintenance of the Heat Exchanger at Unit B, the technician started work without isolating the equipment. The Heat Exchanger was still energized.","during maintenance of the heat exchanger at unit b, the technician started work without isolating the equipment. the heat exchanger was still energized.",{},YES,Confined Space,HIGH,stopped work,supervisor intervened,,updated procedures,False
1ef46613-6ad4-4001-a980-86a9cd56b0a5,Unsafe Act,,Refinery Sector 4,,Heat Exchanger,"During maintenance of the Heat Exchanger at Refinery Sector 4, the technician started work without isolating the equipment. The Heat Exchanger was still energized.","during maintenance of the heat exchanger at refinery sector 4, the technician started work without isolating the equipment. the heat exchanger was still energized.",{},YES,Pressure,HIGH,,supervisor intervened,replaced equipment,retrained staff,
3fe749e1-a581-4033-a961-506f5cd92e87,Unsafe Act,,Offshore Platform 1,,Electrical Panel,Worker entered the confined space at Offshore Platform 1 without conducting a gas test. No standby person was present.,worker entered the confined space at offshore platform 1 without conducting a gas test. no standby person was present.,{},YES,Confined Space,CRITICAL,,colleague intervened,cleaned up,retrained staff,True
60b230c6-ca79-43f5-a091-121a43e8feee,Unsafe Condition,,Offshore Platform 1,,Pump,Small oil spill near Pump at Offshore Platform 1. Cleaned up promptly.,small oil spill near pump at offshore platform 1. cleaned up promptly.,{},NO,Confined Space,LOW,stopped work,,,updated procedures,
faad4331-acc3-4871-906a-098e8b46cf39,Near Miss,,Offshore Platform 1,,Pump,"During maintenance of the Pump at Offshore Platform 1, the technician started work without isolating the equipment. The Pump was still energized.","during maintenance of the pump at offshore platform 1, the technician started work without isolating the equipment. the pump was still energized.",{},YES,Confined Space,CRITICAL,reported to supervisor,,cleaned up,updated procedures,
df30a346-b6a2-45ad-bded-1486ddb4be9a,Near Miss,,Unit A,,Compressor,"During maintenance of the Compressor at Unit A, the technician started work without isolating the equipment. The Compressor was still energized.","during maintenance of the compressor at unit a, the technician started work without isolating the equipment. the compressor was still energized.",{},YES,Energy Isolation,HIGH,stopped work,supervisor intervened,,retrained staff,
a0dc11c4-f2a8-495f-a5af-453d1addaa58,Unsafe Act,,Refinery Sector 4,,Electrical Panel,Worker entered the confined space at Refinery Sector 4 without conducting a gas test. No standby person was present.,worker entered the confined space at refinery sector 4 without conducting a gas test. no standby person was present.,{},YES,Pressure,CRITICAL,stopped work,colleague intervened,,retrained staff,True
0c63e2e9-ae49-4ee2-b752-6152f069dce1,Unsafe Act,,Unit A,,Electrical Panel,"During maintenance of the Electrical Panel at Unit A, the technician started work without isolating the equipment. The Electrical Panel was still energized.","during maintenance of the electrical panel at unit a, the technician started work without isolating the equipment. the electrical panel was still energized.",{},YES,Working at Height,HIGH,reported to supervisor,,,updated procedures,True
8ca23841-c30e-493a-8ca2-ec7dd5073583,Unsafe Act,,Unit A,,Valve,"While working at Unit A, worker was at height without fall protection. Serious risk of fatal fall.","while working at unit a, worker was at height without fall protection. serious risk of fatal fall.",{},YES,Energy Isolation,CRITICAL,stopped work,,replaced equipment,retrained staff,
d00223ac-944c-4e08-8dba-4535cafafd4a,Near Miss,,Offshore Platform 1,,Pump,"While working at Offshore Platform 1, worker was at height without fall protection. Serious risk of fatal fall.","while working at offshore platform 1, worker was at height without fall protection. serious risk of fatal fall.",{},YES,Working at Height,HIGH,reported to supervisor,,cleaned up,updated procedures,True
c0a9a3eb-7524-4a8e-a834-5104c7718647,Near Miss,,Offshore Platform 1,,Valve,"During maintenance of the Valve at Offshore Platform 1, the technician started work without isolating the equipment. The Valve was still energized.","during maintenance of the valve at offshore platform 1, the technician started work without isolating the equipment. the valve was still energized.",{},YES,Confined Space,HIGH,reported to supervisor,,replaced equipment,,
a85a8a63-468f-42b9-a6eb-770c2cd473c0,Unsafe Act,,Offshore Platform 1,,Electrical Panel,"During maintenance of the Electrical Panel at Offshore Platform 1, the technician started work without isolating the equipment. The Electrical Panel was still energized.","during maintenance of the electrical panel at offshore platform 1, the technician started work without isolating the equipment. the electrical panel was still energized.",{},YES,Confined Space,CRITICAL,reported to supervisor,,,updated procedures,True
8e062c10-b2c8-424e-a548-97db29148df0,Unsafe Act,,Unit B,,Compressor,"During maintenance of the Compressor at Unit B, the technician started work without isolating the equipment. The Compressor was still energized.","during maintenance of the compressor at unit b, the technician started work without isolating the equipment. the compressor was still energized.",{},YES,Energy Isolation,CRITICAL,reported to supervisor,colleague intervened,replaced equipment,,False
