report_id,report_text,report_type,sif_label,hazard_category,severity,unsafe_act,unsafe_condition,potential_consequence,failed_control,location,equipment,source
c186de95-87f1-4ed2-8cd4-284fcb6040cf,Small oil spill near Compressor at Offshore Platform 1. Cleaned up promptly.,Unsafe Act,NO,Confined Space,LOW,,,,,Offshore Platform 1,Compressor,synthetic
2c260fb3-6fc7-437b-95ae-02ccad782abf,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Manual Handling,MEDIUM,,,,,Unit B,Pump,synthetic
d7b52f04-ee6e-460f-838f-3890d695f623,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Act,NO,Energy Isolation,MEDIUM,,,,,Refinery Sector 4,Pump,synthetic
2180a9bc-4ae9-4135-9940-b1f52028eca6,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Energy Isolation,MEDIUM,,,,,Unit A,Valve,synthetic
de4e7a29-1fea-494d-9a45-c35812b10179,Small oil spill near Electrical Panel at Refinery Sector 4. Cleaned up promptly.,Unsafe Act,NO,Manual Handling,LOW,,,,,Refinery Sector 4,Electrical Panel,synthetic
482b5eb6-35e4-43d3-b878-f3c5f39d3a2e,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Pressure,MEDIUM,,,,,Refinery Sector 4,Pump,synthetic
e192c4de-580f-4d73-a24f-45ed174626da,Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Act,NO,Energy Isolation,MEDIUM,,,,,Unit B,Valve,synthetic
20cb63b7-10d8-49d8-b0d7-159c53d8a901,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Refinery Sector 4,Valve,synthetic
ffd19a02-5096-4e9e-83cc-e28902dccabd,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Electrical,LOW,,,,,Unit B,Compressor,synthetic
5776ba01-f77f-4d2e-bd0c-40ea8284c007,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Electrical,LOW,,,,,Unit B,Compressor,synthetic
69ce462f-1f93-4299-b45c-856eee304aa3,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Unit B,Compressor,synthetic
74d68301-40a4-40eb-9f6a-920569566548,Small oil spill near Compressor at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Manual Handling,LOW,,,,,Unit B,Compressor,synthetic
ffb81b42-c028-4307-85e7-a1a5e304a25a,<div><p>Small oil spill near Electrical Panel at Unit B. Cleaned up promptly.</p></div>,Unsafe Act,NO,Manual Handling,MEDIUM,,,,,Unit B,Electrical Panel,synthetic
ee601947-a712-4492-8067-03c85f7f9c7a,Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,LOW,,,,,Refinery Sector 4,Valve,synthetic
cec020ed-ee57-4b7c-9957-4b9a6928f4e5,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Refinery Sector 4,Electrical Panel,synthetic
20a8bd56-8951-420a-9f53-b6638f59fefe,Small oil spill near Valve at Unit A. Cleaned up promptly.,Unsafe Act,NO,Manual Handling,LOW,,,,,Unit A,Valve,synthetic
08fdac04-0723-418b-8b14-491fab35f4db,Worker observed not wearing safety glasses at Unit A.,Unsafe Condition,NO,Slips/Trips,LOW,,,,,Unit A,Pump,synthetic
f1472069-270a-43e3-9822-f47b19a621ff,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Confined Space,MEDIUM,,,,,Offshore Platform 1,Valve,synthetic
2365fc94-6100-4444-9a00-9563c033c6c8,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Pressure,LOW,,,,,Unit B,Compressor,synthetic
2b0b9d8b-e3a1-4242-b4ff-ebac4ffdab3b,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Manual Handling,LOW,,,,,Refinery Sector 4,Compressor,synthetic
3ffbd9c5-9dc4-45c5-a2d7-6334de212faf,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Working at Height,LOW,,,,,Refinery Sector 4,Compressor,synthetic
4d19e488-7325-49d0-9386-7700a210dd94,Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Condition,NO,Energy Isolation,MEDIUM,,,,,Refinery Sector 4,Valve,synthetic
706f47bc-56bd-4895-9aef-9086afa30cf8,Small oil spill near Valve at Unit A. Cleaned up promptly.,Unsafe Condition,NO,Confined Space,MEDIUM,,,,,Unit A,Valve,synthetic
571b63aa-497b-4bdc-b558-0fe17e60b62e,Worker observed not wearing safety glasses at Unit B.,Unsafe Act,NO,Manual Handling,LOW,,,,,Unit B,Heat Exchanger,synthetic
efb22afb-e87c-454d-a97b-e9934617ec35,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Act,NO,Electrical,MEDIUM,,,,,Unit B,Electrical Panel,synthetic
a5370ae2-f439-4b4e-b93d-28528364e7b2,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Act,NO,Electrical,LOW,,,,,Offshore Platform 1,Electrical Panel,synthetic
dd4eb812-5a2a-4bf7-bdee-880bea5c38f1,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Unit B,Electrical Panel,synthetic
529e5879-2ba7-426e-914d-4eb03e736c8e,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Unit A,Pump,synthetic
d39de54a-bc06-42b8-a19a-9e163a189ad3,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic
8bb61428-59a4-4a97-b1ec-f1a8e9d35562,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Unit A,Heat Exchanger,synthetic
7df8b91d-12b1-4995-9c30-0e740bd01ba1,Small oil spill near Pump at Refinery Sector 4. Cleaned up promptly.,Unsafe Act,NO,Working at Height,LOW,,,,,Refinery Sector 4,Pump,synthetic
1e0455d2-2648-464c-8387-6a3641b3a46a,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic
6fbaf857-7ffc-475d-bed8-610d39428f00,Small oil spill near Pump at Refinery Sector 4. Cleaned up promptly.,Unsafe Act,NO,Slips/Trips,LOW,,,,,Refinery Sector 4,Pump,synthetic
9ddcffa4-e183-4ace-bd6e-01648443f2a3,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Act,NO,Confined Space,LOW,,,,,Unit B,Pump,synthetic
2797bae3-07cb-46ae-ad00-7b25ebfc77ca,Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Confined Space,MEDIUM,,,,,Offshore Platform 1,Compressor,synthetic
f002cb6c-a0f7-489f-b83f-706cced743d1,Small oil spill near Compressor at Unit A. Cleaned up promptly.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Unit A,Compressor,synthetic
f98b2d25-79c5-42dd-aaee-a1bb2d6a00a0,Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Act,NO,Confined Space,MEDIUM,,,,,Unit B,Heat Exchanger,synthetic
a91ebf5b-d1e4-49af-8c23-2bde2d3927a3,Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Act,NO,Confined Space,MEDIUM,,,,,Unit B,Heat Exchanger,synthetic
52570349-0179-4e45-9093-314b65fb407a,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Energy Isolation,MEDIUM,,,,,Unit A,Compressor,synthetic
8802be09-7857-475d-8c3a-7e7c3d7cb1d1,Worker observed not wearing safety glasses at Unit B.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Unit B,Pump,synthetic
b62a0aa1-e8a5-4d56-991a-d85af9e4156d,Worker observed not wearing safety glasses at Unit A.,Unsafe Condition,NO,Pressure,MEDIUM,,,,,Unit A,Compressor,synthetic
77306dfc-a7a6-4cdb-a766-27a632a140e8,<div><p>Small oil spill near Electrical Panel at Refinery Sector 4. Cleaned up promptly.</p></div>,Unsafe Act,NO,Pressure,LOW,,,,,Refinery Sector 4,Electrical Panel,synthetic
fc434846-37c6-4931-94b7-db7f273c1756,Small oil spill near Compressor at Unit A. Cleaned up promptly.,Unsafe Act,NO,Working at Height,LOW,,,,,Unit A,Compressor,synthetic
91ea7b8e-8718-4ec8-918d-5a460e3bdbec,,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Unit B,Valve,synthetic
fc296c8f-5025-48cd-9ce1-b9e14dba2219,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Refinery Sector 4,Valve,synthetic
8590ebe5-4dbe-4d42-964e-0657f345225e,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Refinery Sector 4,Compressor,synthetic
f2014470-3fb6-4675-946d-d3ab589bccc7,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Working at Height,LOW,,,,,Refinery Sector 4,Heat Exchanger,synthetic
2f37bcd6-acf1-4742-bcf4-99a414ec7c0e,"During maintenance of the Compressor at Unit B, the technician started work without isolating the equipment. The Compressor was still energized.",Near Miss,YES,Energy Isolation,CRITICAL,,,,,Unit B,Compressor,synthetic
1666b7c8-c866-4d0f-bead-cae391250c78,Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.,Unsafe Act,NO,Pressure,LOW,,,,,Offshore Platform 1,Heat Exchanger,synthetic
187c8f4c-6293-4992-8e0d-de4023b730fe,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Condition,NO,Pressure,MEDIUM,,,,,Unit B,Compressor,synthetic
0d8eeece-52a0-40e3-8680-bdef319cd390,Worker observed not wearing safety glasses at Unit B.,Unsafe Condition,NO,Confined Space,MEDIUM,,,,,Unit B,Electrical Panel,synthetic
871e7790-7ccb-4656-b6bf-6f5e4dde3684,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Confined Space,MEDIUM,,,,,Unit B,Valve,synthetic
b10f2a43-6c4f-4b42-97cf-9393fdcf76de,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Act,NO,Energy Isolation,MEDIUM,,,,,Refinery Sector 4,Valve,synthetic
6d64df0b-cf6c-443b-9639-3717b23f0db5,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Refinery Sector 4,Pump,synthetic
82305982-5be2-48ed-97f5-494bd34f4003,<div><p>Small oil spill near Pump at Refinery Sector 4. Cleaned up promptly.</p></div>,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Refinery Sector 4,Pump,synthetic
5d92604e-dbb3-4d47-94b2-2a6e72426816,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Unit A,Compressor,synthetic
24fbc8ad-364d-4575-89a6-1181981750fe,Worker observed not wearing safety glasses at Unit B.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Unit B,Pump,synthetic
208405c1-a225-4740-a832-da4284948fac,Small oil spill near Compressor at Offshore Platform 1. Cleaned up promptly.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Offshore Platform 1,Compressor,synthetic
29c03573-f375-4fff-aa0d-497936126e08,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Pressure,MEDIUM,,,,,Offshore Platform 1,Valve,synthetic
bac0fed8-64ef-48ab-9f13-6f5a912cc668,Small oil spill near Valve at Offshore Platform 1. Cleaned up promptly.,Unsafe Condition,NO,Confined Space,LOW,,,,,Offshore Platform 1,Valve,synthetic
e7ab402d-c308-4d88-9a91-1123b7dda1f1,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Pressure,MEDIUM,,,,,Refinery Sector 4,Electrical Panel,synthetic
2673c045-063b-495d-9a0d-06dfe0977980,Worker observed not wearing safety glasses at Unit A.,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Unit A,Valve,synthetic
247aa0ce-3326-46b9-a6f7-cc22c01c28a8,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Unit B,Heat Exchanger,synthetic
e5802e09-0bea-4a41-8138-f51b7ff566a4,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,LOW,,,,,Unit B,Electrical Panel,synthetic
cfab9093-e4aa-4fe7-8377-938c00bec1cb,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,LOW,,,,,Offshore Platform 1,Electrical Panel,synthetic
3169e4b2-af1b-469a-8276-38d7c6e53a19,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Slips/Trips,MEDIUM,,,,,Offshore Platform 1,Compressor,synthetic
e5ff6a77-fc4b-49ad-a87b-958f375c6218,Small oil spill near Electrical Panel at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Confined Space,LOW,,,,,Unit B,Electrical Panel,synthetic
8b3cfed0-a2e8-49ee-89f8-9d256d9e75fc,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Act,NO,Manual Handling,LOW,,,,,Unit B,Pump,synthetic
7f9c37ce-bd09-458e-b5f9-6a3d53fa3603,Small oil spill near Heat Exchanger at Unit B. Cleaned up promptly.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Unit B,Heat Exchanger,synthetic
72c8d5f8-31db-4f89-a45e-166d3f99a9d0,Small oil spill near Pump at Unit A. Cleaned up promptly.,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Unit A,Pump,synthetic
c7e4a0bf-22d4-4ee5-84ba-d612a731646e,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Confined Space,LOW,,,,,Refinery Sector 4,Heat Exchanger,synthetic
87340e5f-0d0e-41f6-b0cf-2621b5a15e6f,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Condition,NO,Electrical,LOW,,,,,Refinery Sector 4,Compressor,synthetic
21220f99-8e35-4bef-9d30-916840d73f1b,Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.,Unsafe Act,NO,Manual Handling,MEDIUM,,,,,Offshore Platform 1,Heat Exchanger,synthetic
3e571ccb-c50b-41d5-880d-4dbe1e89aff7,Worker observed not wearing safety glasses at Unit B.,Unsafe Act,NO,Pressure,LOW,,,,,Unit B,Valve,synthetic
fa1d12c2-cfbe-4ed4-8af5-4423eaff483c,Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Act,NO,Slips/Trips,MEDIUM,,,,,Offshore Platform 1,Valve,synthetic
cd202aba-f31b-4346-acfb-1078aeb3b9c3,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Act,NO,Manual Handling,MEDIUM,,,,,Offshore Platform 1,Electrical Panel,synthetic
b3fe9991-122b-4d4d-8614-6b25abeec4ae,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Unit A,Pump,synthetic
f06cea86-542b-4407-be38-d24b6b3123a9,<div><p>Worker used incorrect gloves for manual handling task. Supervisor corrected the action.</p></div>,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Refinery Sector 4,Valve,synthetic
f6e9a281-7e59-4c96-a8e3-b9a033c7f5cf,Worker observed not wearing safety glasses at Unit B.,Unsafe Act,NO,Confined Space,MEDIUM,,,,,Unit B,Pump,synthetic
4f58fa01-bb0a-4c41-b1b2-6a538ed96443,Small oil spill near Compressor at Refinery Sector 4. Cleaned up promptly.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic
4be8780a-ffa0-4985-9a30-03455941066e,Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Act,NO,Electrical,LOW,,,,,Offshore Platform 1,Pump,synthetic
e41bf153-ba9d-474d-a15e-75cec13703e8,Worker observed not wearing safety glasses at Unit A.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Unit A,Pump,synthetic
261a6f39-eb85-478c-830b-9231ba0ca29e,Small oil spill near Electrical Panel at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Confined Space,MEDIUM,,,,,Unit B,Electrical Panel,synthetic
01465819-1256-435f-928e-8935726ccc35,Small oil spill near Heat Exchanger at Unit B. Cleaned up promptly.,Unsafe Act,NO,Electrical,MEDIUM,,,,,Unit B,Heat Exchanger,synthetic
4fdf05a1-cd92-4634-9c2a-2ec36364d929,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Unit B,Compressor,synthetic
e760fc1a-6040-4b45-87b2-e90cca9fc5d0,Worker observed not wearing safety glasses at Unit A.,Unsafe Act,NO,Confined Space,LOW,,,,,Unit A,Electrical Panel,synthetic
b3404055-51f8-4c87-8533-1d3611289fdd,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Manual Handling,LOW,,,,,Unit B,Heat Exchanger,synthetic
8bb26920-ed1c-410a-8a17-0a7eea0cc7c3,Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Offshore Platform 1,Heat Exchanger,synthetic
ffeccc82-dad8-484d-88e9-357da85dbdd9,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Electrical,LOW,,,,,Unit B,Pump,synthetic
613cd5c2-b169-43fc-a130-ad05f86e5770,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Working at Height,LOW,,,,,Unit A,Pump,synthetic
43a32788-9059-44ed-974d-6343b600a97b,Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Confined Space,MEDIUM,,,,,Offshore Platform 1,Valve,synthetic
cabdb69b-96b6-4c69-bd21-ba41939f62e6,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,LOW,,,,,Unit B,Compressor,synthetic
63c069db-4883-401c-8fe5-6cbbca47767d,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Slips/Trips,LOW,,,,,Refinery Sector 4,Compressor,synthetic
f7133106-f282-45b3-8591-6e7a6dc67ed7,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic
2e3bff65-256e-4f92-9c35-c36872cc0913,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Unit A,Valve,synthetic
b403a582-8965-41cb-b1ff-6586e2a87e62,Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Act,NO,Pressure,MEDIUM,,,,,Unit B,Heat Exchanger,synthetic
ffca7f8d-73f7-415c-ae08-df1d9fa4a3b7,Small oil spill near Valve at Unit A. Cleaned up promptly.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Unit A,Valve,synthetic
eb76a2be-7a9d-4e16-8204-4095c6e348f0,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Act,NO,Electrical,LOW,,,,,Unit B,Electrical Panel,synthetic
5724d197-16fd-4a39-b10a-fad92cfaf1d5,Small oil spill near Pump at Offshore Platform 1. Cleaned up promptly.,Unsafe Act,NO,Pressure,MEDIUM,,,,,Offshore Platform 1,Pump,synthetic
0ffd93b8-ee9c-42d9-a71c-17ebfd43f90e,<div><p>Trip hazard due to loose cables near Compressor. Cables were immediately organized.</p></div>,Unsafe Act,NO,Pressure,LOW,,,,,Refinery Sector 4,Compressor,synthetic
cdb3df3b-aa3a-495f-9d1f-c4bde670a803,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Manual Handling,LOW,,,,,Refinery Sector 4,Pump,synthetic
30cd8841-65f4-4540-bf3b-b4425564fb0c,Small oil spill near Compressor at Refinery Sector 4. Cleaned up promptly.,Unsafe Act,NO,Pressure,LOW,,,,,Refinery Sector 4,Compressor,synthetic
1bf8486f-cfd8-43bf-8531-8024b7ab6ea4,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Act,NO,Electrical,LOW,,,,,Unit B,Pump,synthetic
8c0039a0-e87d-47be-b0be-69cad22463fc,Small oil spill near Heat Exchanger at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Pressure,LOW,,,,,Unit B,Heat Exchanger,synthetic
55096335-3cc1-47af-a029-72c8aec729d9,"While working at Offshore Platform 1, worker was at height without fall protection. Serious risk of fatal fall.",Unsafe Act,YES,Working at Height,CRITICAL,,,,,Offshore Platform 1,Compressor,synthetic
71bc6402-2914-499d-afff-403b6e36470f,<div><p>Trip hazard due to loose cables near Pump. Cables were immediately organized.</p></div>,Unsafe Act,NO,Confined Space,LOW,,,,,Offshore Platform 1,Pump,synthetic
43c53ae0-e41e-4882-9bc3-4a65298e842b,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Act,NO,Working at Height,LOW,,,,,Refinery Sector 4,Compressor,synthetic
fe8b8210-8e1a-414e-86e3-fd4ebcd99d3f,Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Energy Isolation,MEDIUM,,,,,Offshore Platform 1,Electrical Panel,synthetic
53851cac-f2fc-4ddf-b76b-8d02fa2338f5,Small oil spill near Electrical Panel at Offshore Platform 1. Cleaned up promptly.,Unsafe Condition,NO,Manual Handling,LOW,,,,,Offshore Platform 1,Electrical Panel,synthetic
f19070d9-c01a-4eeb-9bf6-cc38758e3d91,Worker observed not wearing safety glasses at Unit B.,Unsafe Condition,NO,Slips/Trips,LOW,,,,,Unit B,Pump,synthetic
9c8366f5-e7df-4f0d-9b15-a779a38484ec,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Act,NO,Pressure,MEDIUM,,,,,Offshore Platform 1,Electrical Panel,synthetic
a6134ae3-d5ed-41a4-8d24-b737974a24c9,Worker observed not wearing safety glasses at Unit B.,Unsafe Condition,NO,Pressure,MEDIUM,,,,,Unit B,Valve,synthetic
a472b993-80bf-418d-8b84-080352f636c8,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Unit B,Pump,synthetic
5c6a2d88-21d5-4025-bb03-57c7b4b0aac5,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Pressure,LOW,,,,,Unit A,Compressor,synthetic
c939326a-b724-4186-a1a3-45149e8b0ec9,Worker observed not wearing safety glasses at Unit B.,Unsafe Act,NO,Pressure,MEDIUM,,,,,Unit B,Compressor,synthetic
8fd75fad-1a2d-4eee-a9aa-e3b88c0e410c,Small oil spill near Pump at Offshore Platform 1. Cleaned up promptly.,Unsafe Act,NO,Confined Space,MEDIUM,,,,,Offshore Platform 1,Pump,synthetic
81792508-3aec-4c67-bf2e-b3a7ce1c8395,,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Unit B,Electrical Panel,synthetic
5fef5689-3e64-45b4-87ab-1ef735b168f8,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Pressure,MEDIUM,,,,,Unit A,Electrical Panel,synthetic
c38a75ad-2168-43d1-80c7-8112c42411e9,Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Refinery Sector 4,Valve,synthetic
5910699b-b2d3-4e83-8529-dd9d76e3719c,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Unit A,Pump,synthetic
5ea4fb2c-e4cd-4523-b74e-d966675dfe30,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Offshore Platform 1,Compressor,synthetic
098bdc63-38a1-4290-9c92-4932c3530ade,Small oil spill near Pump at Unit A. Cleaned up promptly.,Unsafe Condition,NO,Working at Height,LOW,,,,,Unit A,Pump,synthetic
f99db482-47b4-49a9-805c-2e39a514caef,Small oil spill near Electrical Panel at Offshore Platform 1. Cleaned up promptly.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Offshore Platform 1,Electrical Panel,synthetic
