report_id,report_text,report_type,sif_label,hazard_category,severity,unsafe_act,unsafe_condition,potential_consequence,failed_control,location,equipment,source,immediate_action,intervention,corrective_action,preventive_action,work_stopped,report_text_clean
c22b0273-8c46-4339-ba2f-42d0ab8aec1c,[Oct 17] Report by W-9840: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Condition,NO,Manual Handling,LOW,,,,,Offshore Platform 1,Heat Exchanger,synthetic,reported to supervisor,supervisor intervened,replaced equipment,updated procedures,True,[Oct 17] Report by W-9840: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.
5a950d88-03da-4a65-8a30-d6eda89ec91f,[Oct 4] Report by W-2578: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Act,NO,Energy Isolation,MEDIUM,,,,,Unit B,Heat Exchanger,synthetic,,,cleaned up,,True,[Oct 4] Report by W-2578: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.
af9694ba-64d5-41e2-83e8-2b6c2cbde094,[Oct 20] Report by W-3668: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,LOW,,,,,Unit A,Heat Exchanger,synthetic,,colleague intervened,,retrained staff,,[Oct 20] Report by W-3668: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.
c0dd863d-ac79-49bb-8e69-f323ddf040b8,[Oct 10] Report by W-2570: Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Act,NO,Slips/Trips,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic,reported to supervisor,colleague intervened,replaced equipment,updated procedures,False,[Oct 10] Report by W-2570: Trip hazard due to loose cables near Compressor. Cables were immediately organized.
09181cc6-d55d-4aaf-ab2f-a22570923589,[Oct 11] Report by W-5451: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,LOW,,,,,Unit B,Electrical Panel,synthetic,reported to supervisor,colleague intervened,replaced equipment,,False,[Oct 11] Report by W-5451: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.
d2ea15d4-189a-4840-aebc-5c46d1731604,[Oct 24] Report by W-5702: Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Unit A,Valve,synthetic,,colleague intervened,replaced equipment,,,[Oct 24] Report by W-5702: Trip hazard due to loose cables near Valve. Cables were immediately organized.
979e6428-f44a-43ee-a464-26c29b52ef8d,[Oct 24] Report by W-6538: Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Unit B,Pump,synthetic,stopped work,,,retrained staff,True,[Oct 24] Report by W-6538: Trip hazard due to loose cables near Pump. Cables were immediately organized.
5983c63f-49f4-417c-a9d4-7406c0767821,[Oct 4] Report by W-6252: Small oil spill near Heat Exchanger at Unit A. Cleaned up promptly.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Unit A,Heat Exchanger,synthetic,reported to supervisor,colleague intervened,cleaned up,updated procedures,True,[Oct 4] Report by W-6252: Small oil spill near Heat Exchanger at Unit A. Cleaned up promptly.
54b0bfc5-dc3d-4a08-8764-1f330317b70c,[Oct 21] Report by W-2925: Worker observed not wearing safety glasses at Unit B.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Unit B,Heat Exchanger,synthetic,stopped work,colleague intervened,,,,[Oct 21] Report by W-2925: Worker observed not wearing safety glasses at Unit B.
367e35a0-9d4a-419b-859f-14ea5f15a0e3,[Oct 14] Report by W-4699: Small oil spill near Valve at Unit A. Cleaned up promptly.,Unsafe Act,NO,Pressure,MEDIUM,,,,,Unit A,Valve,synthetic,reported to supervisor,supervisor intervened,replaced equipment,updated procedures,True,[Oct 14] Report by W-4699: Small oil spill near Valve at Unit A. Cleaned up promptly.
27055e82-f287-4b8c-9d24-c233623292f2,[Oct 4] Report by W-3730: Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.,Unsafe Act,NO,Electrical,MEDIUM,,,,,Refinery Sector 4,Heat Exchanger,synthetic,stopped work,colleague intervened,cleaned up,retrained staff,,[Oct 4] Report by W-3730: Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.
b1025d31-4057-4907-ace6-3cbe52bf5d04,[Oct 15] Report by W-4084: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Refinery Sector 4,Electrical Panel,synthetic,,,cleaned up,retrained staff,,[Oct 15] Report by W-4084: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.
d715893d-ce54-4298-80f3-588fc2eeb47a,[Oct 3] Report by W-2875: Worker observed not wearing safety glasses at Unit A.,Unsafe Act,NO,Confined Space,MEDIUM,,,,,Unit A,Heat Exchanger,synthetic,reported to supervisor,supervisor intervened,replaced equipment,,True,[Oct 3] Report by W-2875: Worker observed not wearing safety glasses at Unit A.
0266e23d-914f-44fd-961d-79f05243cabc,[Oct 7] Report by W-8208: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Working at Height,LOW,,,,,Refinery Sector 4,Electrical Panel,synthetic,reported to supervisor,supervisor intervened,cleaned up,updated procedures,False,[Oct 7] Report by W-8208: Worker observed not wearing safety glasses at Refinery Sector 4.
3d6ed8f7-474d-4370-ab8f-496c06537f91,[Oct 21] Report by W-2704: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Pressure,MEDIUM,,,,,Offshore Platform 1,Electrical Panel,synthetic,reported to supervisor,colleague intervened,cleaned up,,True,[Oct 21] Report by W-2704: Worker observed not wearing safety glasses at Offshore Platform 1.
e703cd97-0ea3-4ce0-befb-a0b697282aec,[Oct 1] Report by W-8596: Worker observed not wearing safety glasses at Unit A.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Unit A,Electrical Panel,synthetic,reported to supervisor,supervisor intervened,replaced equipment,,,[Oct 1] Report by W-8596: Worker observed not wearing safety glasses at Unit A.
aa55da9a-4a8a-481e-bf91-845b753df3f5,[Oct 18] Report by W-5083: Small oil spill near Valve at Unit A. Cleaned up promptly.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Unit A,Valve,synthetic,reported to supervisor,colleague intervened,cleaned up,,True,[Oct 18] Report by W-5083: Small oil spill near Valve at Unit A. Cleaned up promptly.
8b0a1acf-0ef5-48f6-85b5-53203d98611b,[Oct 23] Report by W-7157: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Offshore Platform 1,Valve,synthetic,reported to supervisor,,,retrained staff,True,[Oct 23] Report by W-7157: Worker observed not wearing safety glasses at Offshore Platform 1.
88d61384-5e36-4d70-bf1b-79f897873e43,[Oct 9] Report by W-9735: Worker observed not wearing safety glasses at Unit A.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Unit A,Compressor,synthetic,,colleague intervened,,,True,[Oct 9] Report by W-9735: Worker observed not wearing safety glasses at Unit A.
6292c89a-84aa-49d5-8bf7-5eba27e17fdd,[Oct 21] Report by W-1636: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Manual Handling,MEDIUM,,,,,Offshore Platform 1,Compressor,synthetic,reported to supervisor,colleague intervened,replaced equipment,updated procedures,,[Oct 21] Report by W-1636: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.
556dccc7-b587-44d2-bcf4-d2a522af222d,[Oct 27] Report by W-3885: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Act,NO,Confined Space,LOW,,,,,Unit B,Heat Exchanger,synthetic,,supervisor intervened,cleaned up,retrained staff,False,[Oct 27] Report by W-3885: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.
9a222169-f74b-4788-bd43-089dec07a215,[Oct 18] Report by W-4961: Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.,Unsafe Condition,NO,Energy Isolation,MEDIUM,,,,,Offshore Platform 1,Heat Exchanger,synthetic,stopped work,,,,,[Oct 18] Report by W-4961: Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.
2cff002f-a8ad-4a37-ae56-b1a0a1de2542,[Oct 14] Report by W-4429: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Confined Space,LOW,,,,,Refinery Sector 4,Electrical Panel,synthetic,,colleague intervened,replaced equipment,retrained staff,True,[Oct 14] Report by W-4429: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.
8998f4ec-6b2d-43ea-9c9c-2f55adfede12,[Oct 22] Report by W-6394: Line opened with residual pressure on the Compressor. High-energy release narrowly missed the operator.,Near Miss,YES,Energy Isolation,HIGH,,,,,Unit B,Compressor,synthetic,,supervisor intervened,,updated procedures,,[Oct 22] Report by W-6394: Line opened with residual pressure on the Compressor. High-energy release narrowly missed the operator.
31dfdd31-ab8e-4be3-9810-05472cd6d73e,[Oct 19] Report by W-3942: Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,LOW,,,,,Unit A,Valve,synthetic,,supervisor intervened,replaced equipment,,False,[Oct 19] Report by W-3942: Trip hazard due to loose cables near Valve. Cables were immediately organized.
89bce0e7-9d08-428d-84ff-3143038104c4,[Oct 28] Report by W-8720: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Pressure,LOW,,,,,Offshore Platform 1,Compressor,synthetic,stopped work,supervisor intervened,cleaned up,,,[Oct 28] Report by W-8720: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.
7e602346-ed80-4ffd-a137-0d355d73894b,[Oct 6] Report by W-8854: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Slips/Trips,LOW,,,,,Unit B,Electrical Panel,synthetic,,,replaced equipment,retrained staff,False,[Oct 6] Report by W-8854: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.
602fab26-97c4-4543-bde7-23d2b2466063,<div><p>[Oct 6] Report by W-3262: Worker observed not wearing safety glasses at Unit B.</p></div>,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Unit B,Heat Exchanger,synthetic,stopped work,colleague intervened,cleaned up,retrained staff,True,[Oct 6] Report by W-3262: Worker observed not wearing safety glasses at Unit B.
b01dc774-c898-497e-9545-9ec5301098cd,[Oct 13] Report by W-7041: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Working at Height,LOW,,,,,Unit A,Heat Exchanger,synthetic,reported to supervisor,supervisor intervened,cleaned up,,True,[Oct 13] Report by W-7041: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.
66c2cad4-be5d-4447-a165-34c49c05a110,[Oct 27] Report by W-3618: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Act,NO,Slips/Trips,LOW,,,,,Unit B,Heat Exchanger,synthetic,,,,,False,[Oct 27] Report by W-3618: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.
640816d4-daa1-485b-9bc2-1e2466c6a657,[Oct 27] Report by W-5820: Worker observed not wearing safety glasses at Unit B.,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Unit B,Pump,synthetic,stopped work,supervisor intervened,cleaned up,retrained staff,True,[Oct 27] Report by W-5820: Worker observed not wearing safety glasses at Unit B.
fe349a78-929c-4da3-a136-148ebb53b819,[Oct 27] Report by W-8748: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Slips/Trips,MEDIUM,,,,,Refinery Sector 4,Valve,synthetic,reported to supervisor,colleague intervened,cleaned up,,,[Oct 27] Report by W-8748: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.
a55c2191-d5ec-49b0-98e3-8810e634e4a7,[Oct 6] Report by W-9856: Line opened with residual pressure on the Pump. High-energy release narrowly missed the operator.,Near Miss,YES,Confined Space,CRITICAL,,,,,Refinery Sector 4,Pump,synthetic,stopped work,colleague intervened,cleaned up,retrained staff,True,[Oct 6] Report by W-9856: Line opened with residual pressure on the Pump. High-energy release narrowly missed the operator.
e8bf49e0-3bc2-416b-970b-4458abb97852,[Oct 20] Report by W-2388: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Slips/Trips,LOW,,,,,Offshore Platform 1,Pump,synthetic,,supervisor intervened,replaced equipment,updated procedures,False,[Oct 20] Report by W-2388: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.
92244146-dd32-4da3-bdee-848cdb838acf,[Oct 24] Report by W-5602: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Refinery Sector 4,Electrical Panel,synthetic,reported to supervisor,colleague intervened,,,False,[Oct 24] Report by W-5602: Worker observed not wearing safety glasses at Refinery Sector 4.
a53fb670-c0ad-4c5a-b50c-e9c824e3c112,[Oct 13] Report by W-2395: Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Condition,NO,Pressure,MEDIUM,,,,,Unit A,Compressor,synthetic,reported to supervisor,supervisor intervened,cleaned up,retrained staff,True,[Oct 13] Report by W-2395: Trip hazard due to loose cables near Compressor. Cables were immediately organized.
d2157108-a5c4-46be-aa74-5bc4557b53e2,[Oct 25] Report by W-7834: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Working at Height,LOW,,,,,Offshore Platform 1,Heat Exchanger,synthetic,,,,retrained staff,,[Oct 25] Report by W-7834: Worker observed not wearing safety glasses at Offshore Platform 1.
fc294f30-c0ac-4c0b-9c8a-06b037e96097,[Oct 10] Report by W-3865: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Unit B,Electrical Panel,synthetic,stopped work,supervisor intervened,cleaned up,,,[Oct 10] Report by W-3865: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.
db879417-0cf7-4fb6-9cee-370da36ad196,[Oct 11] Report by W-6830: Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Refinery Sector 4,Valve,synthetic,reported to supervisor,supervisor intervened,,updated procedures,False,[Oct 11] Report by W-6830: Trip hazard due to loose cables near Valve. Cables were immediately organized.
863a5d59-a36d-484e-975e-4c95561af6be,[Oct 18] Report by W-1493: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Unit B,Electrical Panel,synthetic,,,cleaned up,updated procedures,False,[Oct 18] Report by W-1493: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.
8fc627be-8ba7-412b-9c45-cb4a467845e5,[Oct 27] Report by W-8449: Small oil spill near Compressor at Unit A. Cleaned up promptly.,Unsafe Act,NO,Electrical,MEDIUM,,,,,Unit A,Compressor,synthetic,,colleague intervened,replaced equipment,retrained staff,,[Oct 27] Report by W-8449: Small oil spill near Compressor at Unit A. Cleaned up promptly.
e2332547-231b-41e5-9795-95e30c947918,[Oct 28] Report by W-3080: Small oil spill near Electrical Panel at Offshore Platform 1. Cleaned up promptly.,Unsafe Condition,NO,Electrical,LOW,,,,,Offshore Platform 1,Electrical Panel,synthetic,reported to supervisor,supervisor intervened,replaced equipment,,,[Oct 28] Report by W-3080: Small oil spill near Electrical Panel at Offshore Platform 1. Cleaned up promptly.
4606b369-660a-4273-b06f-a7c1314a6282,[Oct 24] Report by W-1497: Small oil spill near Pump at Refinery Sector 4. Cleaned up promptly.,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Refinery Sector 4,Pump,synthetic,reported to supervisor,colleague intervened,replaced equipment,retrained staff,,[Oct 24] Report by W-1497: Small oil spill near Pump at Refinery Sector 4. Cleaned up promptly.
10d0023b-b0d9-4d30-8a6f-b90e9e19e40c,[Oct 10] Report by W-8189: Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Act,NO,Electrical,LOW,,,,,Offshore Platform 1,Valve,synthetic,reported to supervisor,,replaced equipment,updated procedures,,[Oct 10] Report by W-8189: Trip hazard due to loose cables near Valve. Cables were immediately organized.
4ac52d4f-d362-4508-b2d3-ddb47564422d,[Oct 17] Report by W-9655: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Confined Space,LOW,,,,,Offshore Platform 1,Compressor,synthetic,,colleague intervened,,updated procedures,True,[Oct 17] Report by W-9655: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.
4d4b53da-cee9-462a-8909-acb9cb440df5,[Oct 12] Report by W-1488: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Act,NO,Confined Space,MEDIUM,,,,,Refinery Sector 4,Electrical Panel,synthetic,stopped work,supervisor intervened,cleaned up,updated procedures,True,[Oct 12] Report by W-1488: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.
ad4d414b-f285-4705-ba4c-0d3fda7c6e94,"[Oct 6] Report by W-1905: While working at Refinery Sector 4, worker was at height without fall protection. Serious risk of fatal fall.",Unsafe Act,YES,Energy Isolation,HIGH,,,,,Refinery Sector 4,Heat Exchanger,synthetic,stopped work,supervisor intervened,,updated procedures,True,"[Oct 6] Report by W-1905: While working at Refinery Sector 4, worker was at height without fall protection. Serious risk of fatal fall."
626f2be2-bf7b-4a7d-ada1-a1aa566b400e,[Oct 22] Report by W-7659: Worker observed not wearing safety glasses at Unit A.,Unsafe Act,NO,Energy Isolation,MEDIUM,,,,,Unit A,Compressor,synthetic,stopped work,colleague intervened,replaced equipment,retrained staff,,[Oct 22] Report by W-7659: Worker observed not wearing safety glasses at Unit A.
1f60ea49-e713-4ef2-8510-27113ea005c7,[Oct 20] Report by W-3805: Small oil spill near Electrical Panel at Offshore Platform 1. Cleaned up promptly.,Unsafe Act,NO,Pressure,LOW,,,,,Offshore Platform 1,Electrical Panel,synthetic,,,replaced equipment,retrained staff,True,[Oct 20] Report by W-3805: Small oil spill near Electrical Panel at Offshore Platform 1. Cleaned up promptly.
c1b3994a-83dd-431d-a3cf-68b402c0e647,[Oct 5] Report by W-1101: Worker observed not wearing safety glasses at Unit A.,Unsafe Act,NO,Manual Handling,MEDIUM,,,,,Unit A,Heat Exchanger,synthetic,stopped work,colleague intervened,replaced equipment,updated procedures,,[Oct 5] Report by W-1101: Worker observed not wearing safety glasses at Unit A.
9a3b23f3-940a-4593-b37e-80d7cd9e5f11,[Oct 2] Report by W-2147: Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Condition,NO,Slips/Trips,LOW,,,,,Offshore Platform 1,Pump,synthetic,,colleague intervened,,updated procedures,False,[Oct 2] Report by W-2147: Trip hazard due to loose cables near Pump. Cables were immediately organized.
2347c0d5-7ce6-4dab-b6bc-56313302ff2f,[Oct 22] Report by W-5111: Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Refinery Sector 4,Heat Exchanger,synthetic,stopped work,supervisor intervened,replaced equipment,retrained staff,,[Oct 22] Report by W-5111: Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.
b019e835-f9ed-452a-b157-f0fed62d9f5f,[Oct 8] Report by W-6635: Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic,,supervisor intervened,,updated procedures,False,[Oct 8] Report by W-6635: Trip hazard due to loose cables near Compressor. Cables were immediately organized.
ff223997-eb52-4232-9bcc-e905e38a46dd,[Oct 26] Report by W-9371: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Energy Isolation,MEDIUM,,,,,Offshore Platform 1,Heat Exchanger,synthetic,reported to supervisor,,,updated procedures,,[Oct 26] Report by W-9371: Worker observed not wearing safety glasses at Offshore Platform 1.
d1d65c8b-01cf-4ad7-ba5c-6bba4a2f8564,[Oct 9] Report by W-2101: Small oil spill near Heat Exchanger at Unit B. Cleaned up promptly.,Unsafe Act,NO,Working at Height,LOW,,,,,Unit B,Heat Exchanger,synthetic,reported to supervisor,colleague intervened,,retrained staff,False,[Oct 9] Report by W-2101: Small oil spill near Heat Exchanger at Unit B. Cleaned up promptly.
eb3bf2ac-730e-4009-8f28-ce5a460c52fc,[Oct 25] Report by W-9265: Small oil spill near Pump at Unit B. Cleaned up promptly.,Unsafe Act,NO,Slips/Trips,LOW,,,,,Unit B,Pump,synthetic,,,cleaned up,,False,[Oct 25] Report by W-9265: Small oil spill near Pump at Unit B. Cleaned up promptly.
0aa3310e-2e5d-4bb5-917f-5a5fe925c181,[Oct 4] Report by W-9876: Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Condition,NO,Manual Handling,LOW,,,,,Refinery Sector 4,Valve,synthetic,,,cleaned up,updated procedures,False,[Oct 4] Report by W-9876: Trip hazard due to loose cables near Valve. Cables were immediately organized.
ac091b4f-8732-4d4f-9717-8237376c4dc5,[Oct 13] Report by W-6301: Small oil spill near Compressor at Unit A. Cleaned up promptly.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Unit A,Compressor,synthetic,stopped work,,cleaned up,,False,[Oct 13] Report by W-6301: Small oil spill near Compressor at Unit A. Cleaned up promptly.
7757b994-7996-4951-b4a5-7ca17a98be27,[Oct 24] Report by W-9820: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Manual Handling,LOW,,,,,Offshore Platform 1,Pump,synthetic,stopped work,supervisor intervened,replaced equipment,retrained staff,,[Oct 24] Report by W-9820: Worker observed not wearing safety glasses at Offshore Platform 1.
