report_id,report_text,report_type,sif_label,hazard_category,severity,unsafe_act,unsafe_condition,potential_consequence,failed_control,location,equipment,source,immediate_action,intervention,corrective_action,preventive_action,work_stopped
1cc75f0e-981f-49c4-9376-aa51831cb5d4,[Oct 6] Report by W-4151: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Unit B,Compressor,synthetic,reported to supervisor,supervisor intervened,replaced equipment,retrained staff,True
db54d26e-40fb-4c73-9e4f-b64d79b6fc71,[Oct 26] Report by W-9777: Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Unit B,Pump,synthetic,,supervisor intervened,cleaned up,,True
3d49d8c9-ac91-4aeb-9287-e84404e2cd7b,[Oct 16] Report by W-4472: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Energy Isolation,MEDIUM,,,,,Refinery Sector 4,Valve,synthetic,reported to supervisor,,cleaned up,retrained staff,
1b8e4ee1-0020-46c0-9f2f-7307e26452a5,[Oct 15] Report by W-1623: Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Refinery Sector 4,Valve,synthetic,stopped work,,cleaned up,retrained staff,False
a11eb21e-6cb0-492c-a2d5-5dfcaffe3961,,Unsafe Condition,NO,Electrical,LOW,,,,,Offshore Platform 1,Heat Exchanger,synthetic,reported to supervisor,supervisor intervened,,retrained staff,True
011c20ee-3b2c-4985-9f95-9419fd2ecd25,[Oct 7] Report by W-3544: Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Unit B,Valve,synthetic,stopped work,,replaced equipment,retrained staff,
b31099fd-618a-4c03-be56-701bd34078fe,[Oct 3] Report by W-3625: Worker observed not wearing safety glasses at Unit A.,Unsafe Act,NO,Pressure,MEDIUM,,,,,Unit A,Heat Exchanger,synthetic,stopped work,supervisor intervened,replaced equipment,updated procedures,
65816e8e-3474-44e9-b55b-dff362093099,[Oct 28] Report by W-7233: Small oil spill near Pump at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Unit B,Pump,synthetic,,supervisor intervened,cleaned up,updated procedures,False
9a6ff18e-078c-47d1-96c5-c66c1d41b307,[Oct 25] Report by W-9519: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Condition,NO,Confined Space,MEDIUM,,,,,Unit A,Heat Exchanger,synthetic,reported to supervisor,colleague intervened,replaced equipment,retrained staff,True
1ef8d141-bac1-4b49-8bf1-d17269fa3af2,[Oct 9] Report by W-8392: Line opened with residual pressure on the Pump. High-energy release narrowly missed the operator.,Near Miss,YES,Energy Isolation,HIGH,,,,,Unit A,Pump,synthetic,reported to supervisor,colleague intervened,cleaned up,updated procedures,True
a7b8debc-892a-48e1-97da-e4a908fb3d7b,[Oct 9] Report by W-8392: Line opened with residual pressure on the Pump. High-energy release narrowly missed the operator.,Near Miss,YES,Energy Isolation,HIGH,,,,,Unit A,Pump,synthetic,reported to supervisor,colleague intervened,cleaned up,updated procedures,True
c80867ba-bf99-41b4-963a-caec56cdba95,[Oct 17] Report by W-4456: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Unit A,Valve,synthetic,stopped work,,cleaned up,,
49891309-0bc8-4aa2-8b8a-eed9c4b85aad,[Oct 5] Report by W-4075: Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Act,NO,Electrical,LOW,,,,,Refinery Sector 4,Compressor,synthetic,reported to supervisor,,cleaned up,retrained staff,
c2e826cf-17bc-4217-8b19-5ebc61b6448c,[Oct 22] Report by W-1724: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Offshore Platform 1,Pump,synthetic,reported to supervisor,supervisor intervened,cleaned up,updated procedures,False
2b430446-3d21-4ce5-9b5e-f316349f3e05,[Oct 15] Report by W-2676: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Condition,NO,Confined Space,LOW,,,,,Refinery Sector 4,Heat Exchanger,synthetic,,colleague intervened,cleaned up,,False
39ebe0b5-3e09-41bb-aef7-0184f1cce4cf,[Oct 26] Report by W-2213: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Unit A,Valve,synthetic,reported to supervisor,,replaced equipment,,True
253fd86e-61ec-4ad5-a5b7-f70e3dba36e9,[Oct 26] Report by W-5350: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Offshore Platform 1,Electrical Panel,synthetic,stopped work,colleague intervened,cleaned up,updated procedures,True
456a92ac-4fdb-4539-8554-77a8625ac2fb,[Oct 20] Report by W-4872: Worker observed not wearing safety glasses at Unit A.,Unsafe Act,NO,Pressure,MEDIUM,,,,,Unit A,Compressor,synthetic,stopped work,supervisor intervened,replaced equipment,retrained staff,
5c7e3b15-fbd4-416c-9583-83a877e27e76,[Oct 16] Report by W-1943: Line opened with residual pressure on the Pump. High-energy release narrowly missed the operator.,Near Miss,YES,Confined Space,HIGH,,,,,Unit B,Pump,synthetic,reported to supervisor,supervisor intervened,,,
d577bfb3-b14a-4cfd-b7ad-fef63e8192b3,[Oct 21] Report by W-5412: Small oil spill near Electrical Panel at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Electrical,LOW,,,,,Unit B,Electrical Panel,synthetic,stopped work,,cleaned up,updated procedures,
d36e2b29-768a-486f-be6c-8b84e9695da5,[Oct 6] Report by W-7401: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Confined Space,LOW,,,,,Offshore Platform 1,Compressor,synthetic,,colleague intervened,cleaned up,,False
e4c31e0e-1776-4705-b83d-696ab5cd8120,[Oct 2] Report by W-8743: Line opened with residual pressure on the Heat Exchanger. High-energy release narrowly missed the operator.,Near Miss,YES,Pressure,CRITICAL,,,,,Refinery Sector 4,Heat Exchanger,synthetic,,colleague intervened,cleaned up,,
502c0efb-2fca-4526-b2b8-355b690eb704,[Oct 8] Report by W-3308: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Energy Isolation,MEDIUM,,,,,Offshore Platform 1,Pump,synthetic,reported to supervisor,supervisor intervened,replaced equipment,,True
34088382-bdb3-4871-b8b8-cec368420fb4,[Oct 27] Report by W-3248: Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Act,NO,Manual Handling,LOW,,,,,Unit B,Pump,synthetic,stopped work,supervisor intervened,,retrained staff,False
fb4e4f74-fd77-4857-a13b-45dcf3b88652,[Oct 2] Report by W-7090: Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,LOW,,,,,Unit B,Compressor,synthetic,,,replaced equipment,retrained staff,False
9c680c06-f3e9-432c-9ea6-e7fdc09728e3,[Oct 13] Report by W-4574: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Act,NO,Confined Space,MEDIUM,,,,,Refinery Sector 4,Heat Exchanger,synthetic,reported to supervisor,,replaced equipment,retrained staff,True
b511218a-0b87-43cd-9db7-28bfd7cecddd,[Oct 16] Report by W-9990: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Act,NO,Energy Isolation,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic,reported to supervisor,,replaced equipment,,False
aa55da9a-4a8a-481e-bf91-845b753df3f5,[Oct 18] Report by W-5083: Small oil spill near Valve at Unit A. Cleaned up promptly.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Unit A,Valve,synthetic,reported to supervisor,colleague intervened,cleaned up,,True
6bf7d2c6-44a2-49e5-aeb4-35255f52a26f,[Oct 26] Report by W-4590: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Unit A,Electrical Panel,synthetic,,colleague intervened,cleaned up,,True
07a9972f-543f-4102-a634-60f1e0cf126c,[Oct 12] Report by W-3456: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Slips/Trips,LOW,,,,,Unit B,Compressor,synthetic,stopped work,supervisor intervened,cleaned up,retrained staff,
b62318f1-ac4f-4d0c-8def-0ad4bcdb3b38,[Oct 20] Report by W-4445: Small oil spill near Pump at Refinery Sector 4. Cleaned up promptly.,Unsafe Act,NO,Manual Handling,MEDIUM,,,,,Refinery Sector 4,Pump,synthetic,stopped work,,,,
495168dd-1e0a-407c-bfc4-6fe672dddab4,[Oct 19] Report by W-2981: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Pressure,LOW,,,,,Unit B,Electrical Panel,synthetic,stopped work,colleague intervened,cleaned up,,False
8cec93da-cd4c-4910-8eb1-26168fec01bd,[Oct 27] Report by W-6483: Worker observed not wearing safety glasses at Unit B.,Unsafe Act,NO,Slips/Trips,MEDIUM,,,,,Unit B,Heat Exchanger,synthetic,reported to supervisor,supervisor intervened,cleaned up,,
d45b2aeb-54bc-4cde-bac9-335648eaf84f,[Oct 23] Report by W-3853: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Pressure,MEDIUM,,,,,Unit B,Valve,synthetic,,supervisor intervened,cleaned up,updated procedures,True
fecfa757-463c-4384-808b-e4035c0b60a3,[Oct 5] Report by W-6166: Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Act,NO,Slips/Trips,MEDIUM,,,,,Refinery Sector 4,Pump,synthetic,,supervisor intervened,cleaned up,updated procedures,False
8d8c7fd6-e6c9-4278-a044-f635fffd1814,[Oct 11] Report by W-5753: Worker observed not wearing safety glasses at Unit B.,Unsafe Condition,NO,Working at Height,LOW,,,,,Unit B,Pump,synthetic,stopped work,colleague intervened,cleaned up,,True
210fd2e6-b02c-49d4-868a-dff1cddefc7a,[Oct 25] Report by W-7313: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Manual Handling,MEDIUM,,,,,Unit A,Pump,synthetic,reported to supervisor,,replaced equipment,retrained staff,True
0266e23d-914f-44fd-961d-79f05243cabc,[Oct 7] Report by W-8208: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Working at Height,LOW,,,,,Refinery Sector 4,Electrical Panel,synthetic,reported to supervisor,supervisor intervened,cleaned up,updated procedures,False
5821f8e1-1413-4e04-9138-938d23c2d334,[Oct 1] Report by W-8728: Small oil spill near Pump at Unit B. Cleaned up promptly.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Unit B,Pump,synthetic,,colleague intervened,cleaned up,,True
9ceb4da2-416b-4571-80d5-3d028e28c1d1,[Oct 22] Report by W-3005: Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Condition,NO,Confined Space,LOW,,,,,Unit B,Pump,synthetic,,supervisor intervened,cleaned up,updated procedures,False
697ea40d-ff68-4721-bf5d-8fcd11cf68dc,[Oct 11] Report by W-7223: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Energy Isolation,MEDIUM,,,,,Unit B,Electrical Panel,synthetic,,supervisor intervened,,,False
cad4158f-4583-4592-b33c-e4e1e3dfa3e4,[Oct 23] Report by W-6416: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Manual Handling,LOW,,,,,Refinery Sector 4,Heat Exchanger,synthetic,stopped work,colleague intervened,replaced equipment,,True
686ab97b-d5e5-401b-9d95-f759f0e0842e,[Oct 21] Report by W-8384: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Condition,NO,Manual Handling,LOW,,,,,Unit A,Heat Exchanger,synthetic,,colleague intervened,cleaned up,retrained staff,True
e7781d84-0c9d-4891-8dc2-15276f247d59,[Oct 11] Report by W-7765: Small oil spill near Pump at Unit A. Cleaned up promptly.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Unit A,Pump,synthetic,,colleague intervened,,,
